,Time,Imports,Country,Tourist,Year
126,2009-06-08,7375015,GER,499033,2009
127,2009-05-08,5876851,GER,450569,2009
128,2009-04-08,8255423,GER,289011,2009
129,2009-03-08,12860789,GER,206714,2009
130,2009-02-08,14011175,GER,134830,2009
131,2009-01-08,4507786,GER,101730,2009
132,2008-12-08,10775543,GER,85340,2008
133,2008-11-08,6859048,GER,105356,2008
134,2008-10-08,10997084,GER,417366,2008
135,2008-09-08,7920866,GER,537483,2008
136,2008-08-08,8641026,GER,541793,2008
137,2008-07-08,6262869,GER,562310,2008
138,2008-06-08,10974251,GER,537648,2008
139,2008-05-08,14902111,GER,529010,2008
140,2008-04-08,37705087,GER,270638,2008
141,2008-03-08,22715648,GER,237957,2008
142,2008-02-08,12784908,GER,149115,2008
143,2008-01-08,10630306,GER,87444,2008
144,2007-12-08,7331178,GER,82886,2007
145,2007-11-08,13006440,GER,116427,2007
146,2007-10-08,6712011,GER,372331,2007
147,2007-09-08,6297251,GER,546888,2007
148,2007-08-08,9457030,GER,514224,2007
149,2007-07-08,7901356,GER,584584,2007
150,2007-06-08,10527937,GER,534381,2007
151,2007-05-08,8162901,GER,440521,2007
152,2007-04-08,10040944,GER,268422,2007
153,2007-03-08,7650868,GER,227006,2007
154,2007-02-08,10578265,GER,134305,2007
155,2007-01-08,4875719,GER,86507,2007
156,2006-12-08,8718743,GER,83811,2006
157,2006-11-08,6034450,GER,108132,2006
158,2006-10-08,8634151,GER,423973,2006
159,2006-09-08,11099509,GER,578182,2006
160,2006-08-08,9723797,GER,515479,2006
161,2006-07-08,6927689,GER,559072,2006
162,2006-06-08,7988812,GER,524617,2006
163,2006-05-08,7757616,GER,493711,2006
164,2006-04-08,8023751,GER,298505,2006
165,2006-03-08,11554351,GER,196833,2006
166,2006-02-08,5353795,GER,128837,2006
167,2006-01-08,10824209,GER,92233,2006
168,2005-12-08,8178842,GER,82638,2005
169,2005-11-08,6219432,GER,104655,2005
170,2005-10-08,7255277,GER,402468,2005
171,2005-09-08,6571481,GER,532525,2005
172,2005-08-08,7190075,GER,543158,2005
173,2005-07-08,7737645,GER,469565,2005
174,2005-06-08,7960193,GER,467057,2005
175,2005-05-08,6889057,GER,454274,2005
176,2005-04-08,10850583,GER,231734,2005
177,2005-03-08,5200637,GER,233349,2005
178,2005-02-08,3696740,GER,160791,2005
179,2005-01-08,5621069,GER,99386,2005
0,2019-12-08,2046475,GBR,15391,2019
1,2019-11-08,2663210,GBR,15415,2019
2,2019-10-08,8303605,GBR,337509,2019
3,2019-09-08,6565930,GBR,606611,2019
4,2019-08-08,4508695,GBR,646813,2019
5,2019-07-08,10047246,GBR,614946,2019
6,2019-06-08,10624679,GBR,620718,2019
7,2019-05-08,5374058,GBR,529542,2019
8,2019-04-08,10691896,GBR,220957,2019
9,2019-03-08,6524529,GBR,42834,2019
10,2019-02-08,2174171,GBR,21641,2019
11,2019-01-08,7036497,GBR,19050,2019
12,2018-12-08,2338615,GBR,21700,2018
13,2018-11-08,10011656,GBR,31300,2018
14,2018-10-08,3226694,GBR,329412,2018
15,2018-09-08,13653071,GBR,539125,2018
16,2018-08-08,4870184,GBR,678252,2018
17,2018-07-08,4384374,GBR,686093,2018
18,2018-06-08,20124826,GBR,624543,2018
19,2018-05-08,8464808,GBR,464664,2018
20,2018-04-08,5689651,GBR,209923,2018
21,2018-03-08,20165006,GBR,65985,2018
22,2018-02-08,10466770,GBR,20479,2018
23,2018-01-08,2157657,GBR,20171,2018
24,2017-12-08,7639203,GBR,15968,2017
25,2017-11-08,8390326,GBR,26032,2017
26,2017-10-08,6794875,GBR,327804,2017
27,2017-09-08,3811224,GBR,609153,2017
28,2017-08-08,3946211,GBR,638530,2017
29,2017-07-08,8452566,GBR,687116,2017
30,2017-06-08,9451834,GBR,622454,2017
31,2017-05-08,9137726,GBR,546040,2017
32,2017-04-08,10604930,GBR,194099,2017
33,2017-03-08,5990696,GBR,44127,2017
34,2017-02-08,5394232,GBR,25686,2017
35,2017-01-08,8157643,GBR,11197,2017
36,2016-12-08,8078009,GBR,17526,2016
37,2016-11-08,10655051,GBR,19026,2016
38,2016-10-08,4330667,GBR,293405,2016
39,2016-09-08,7818616,GBR,577022,2016
40,2016-08-08,3979261,GBR,679851,2016
41,2016-07-08,9288992,GBR,668991,2016
42,2016-06-08,4821119,GBR,627569,2016
43,2016-05-08,8644002,GBR,451035,2016
44,2016-04-08,5488825,GBR,180165,2016
45,2016-03-08,17095473,GBR,83330,2016
46,2016-02-08,4867467,GBR,20476,2016
47,2016-01-08,2411844,GBR,14940,2016
48,2015-12-08,4082871,GBR,17488,2015
49,2015-11-08,126574645,GBR,14571,2015
50,2015-10-08,3673099,GBR,303596,2015
51,2015-09-08,7455001,GBR,553578,2015
52,2015-08-08,3392124,GBR,677614,2015
53,2015-07-08,6644981,GBR,674276,2015
54,2015-06-08,5075642,GBR,571771,2015
55,2015-05-08,6375413,GBR,466926,2015
56,2015-04-08,13193245,GBR,156013,2015
57,2015-03-08,5761613,GBR,42328,2015
58,2015-02-08,3734269,GBR,16706,2015
59,2015-01-08,2283585,GBR,14997,2015
60,2014-12-08,3554366,GBR,14426,2014
61,2014-11-08,4346404,GBR,20473,2014
62,2014-10-08,3657068,GBR,251992,2014
63,2014-09-08,3095793,GBR,531220,2014
64,2014-08-08,4711310,GBR,665170,2014
65,2014-07-08,3972185,GBR,639711,2014
66,2014-06-08,11907819,GBR,560878,2014
67,2014-05-08,7401804,GBR,489254,2014
68,2014-04-08,9204028,GBR,157188,2014
69,2014-03-08,4482479,GBR,26825,2014
70,2014-02-08,2183791,GBR,14389,2014
71,2014-01-08,2484639,GBR,13361,2014
72,2013-12-08,6567213,GBR,12762,2013
73,2013-11-08,2127470,GBR,18585,2013
74,2013-10-08,2214408,GBR,261938,2013
75,2013-09-08,20924325,GBR,525345,2013
76,2013-08-08,3273266,GBR,661100,2013
77,2013-07-08,10433624,GBR,614925,2013
78,2013-06-08,2105492,GBR,559685,2013
79,2013-05-08,4871818,GBR,449070,2013
80,2013-04-08,7359177,GBR,155009,2013
81,2013-03-08,3478964,GBR,52999,2013
82,2013-02-08,1429195,GBR,15651,2013
83,2013-01-08,1364511,GBR,14035,2013
84,2012-12-08,3109169,GBR,9986,2012
85,2012-11-08,2770053,GBR,20166,2012
86,2012-10-08,5908156,GBR,249082,2012
87,2012-09-08,1322011,GBR,496064,2012
88,2012-08-08,3766732,GBR,601144,2012
89,2012-07-08,2000261,GBR,599025,2012
90,2012-06-08,2417440,GBR,518065,2012
91,2012-05-08,2876741,GBR,405453,2012
92,2012-04-08,2587550,GBR,132082,2012
93,2012-03-08,3550242,GBR,47388,2012
94,2012-02-08,3757854,GBR,14907,2012
95,2012-01-08,1934996,GBR,11789,2012
96,2011-12-08,2539283,GBR,9289,2011
97,2011-11-08,2709405,GBR,15135,2011
98,2011-10-08,3114723,GBR,238632,2011
99,2011-09-08,3525853,GBR,469195,2011
100,2011-08-08,4385790,GBR,557672,2011
101,2011-07-08,2425410,GBR,573061,2011
102,2011-06-08,4263242,GBR,468579,2011
103,2011-05-08,4403227,GBR,408459,2011
104,2011-04-08,18696700,GBR,158113,2011
105,2011-03-08,3533108,GBR,32331,2011
106,2011-02-08,4060154,GBR,16787,2011
107,2011-01-08,2572290,GBR,11835,2011
108,2010-12-08,4699493,GBR,8372,2010
109,2010-11-08,4452852,GBR,13417,2010
110,2010-10-08,1888789,GBR,229842,2010
111,2010-09-08,3367488,GBR,433220,2010
112,2010-08-08,2359001,GBR,536827,2010
113,2010-07-08,2065210,GBR,535002,2010
114,2010-06-08,4369077,GBR,444767,2010
115,2010-05-08,4126101,GBR,354981,2010
116,2010-04-08,3573915,GBR,100445,2010
117,2010-03-08,3634791,GBR,53021,2010
118,2010-02-08,1757323,GBR,19604,2010
119,2010-01-08,2100057,GBR,10322,2010
120,2009-12-08,9411265,GBR,13392,2009
121,2009-11-08,1434397,GBR,22863,2009
122,2009-10-08,3296590,GBR,236481,2009
123,2009-09-08,3222036,GBR,433951,2009
124,2009-08-08,3366130,GBR,526480,2009
125,2009-07-08,7352054,GBR,471933,2009
126,2009-06-08,3387101,GBR,480333,2009
127,2009-05-08,2973422,GBR,386319,2009
128,2009-04-08,1938535,GBR,153288,2009
129,2009-03-08,4007652,GBR,53587,2009
130,2009-02-08,5718555,GBR,27115,2009
131,2009-01-08,2733557,GBR,21461,2009
132,2008-12-08,13912381,GBR,26856,2008
133,2008-11-08,2561891,GBR,39146,2008
134,2008-10-08,4714647,GBR,299301,2008
135,2008-09-08,63003764,GBR,518319,2008
136,2008-08-08,3783637,GBR,620888,2008
137,2008-07-08,4480109,GBR,587251,2008
138,2008-06-08,4190340,GBR,534764,2008
139,2008-05-08,2998592,GBR,485202,2008
140,2008-04-08,31920342,GBR,161435,2008
141,2008-03-08,3998190,GBR,79133,2008
142,2008-02-08,33003291,GBR,39208,2008
143,2008-01-08,3094243,GBR,26797,2008
